"TIME","GEO","UNIT","HAZARD","WASTE","WST_OPER","Value","Flag and Footnotes"
"2004","European Union - 28 countries (2013-2020)","Tonne","Hazardous","Total waste","Recovery - recycling",":",""
"2004","European Union - 28 countries (2013-2020)","Tonne","Hazardous","Total waste","Recovery - backfilling",":",""
"2004","European Union - 28 countries (2013-2020)","Tonne","Non-hazardous","Total waste","Waste treatment","2,039,250,000",""
"2004","European Union - 28 countries (2013-2020)","Tonne","Non-hazardous","Total waste","Disposal - landfill and other (D1-D7, D12)","1,077,110,000",""
"2004","European Union - 28 countries (2013-2020)","Tonne","Non-hazardous","Total waste","Disposal - landfill (D1, D5, D12)","1,036,680,000",""
"2004","European Union - 28 countries (2013-2020)","Tonne","Non-hazardous","Total waste","Disposal - incineration (D10)","34,210,000",""
"2004","European Union - 28 countries (2013-2020)","Tonne","Non-hazardous","Total waste","Disposal - other (D2-D4, D6-D7)","40,430,000",""
"2004","European Union - 28 countries (2013-2020)","Tonne","Non-hazardous","Total waste","Recovery - energy recovery (R1)","64,530,000",""
"2004","European Union - 28 countries (2013-2020)","Tonne","Non-hazardous","Total waste","Recovery - recycling and backfilling (R2-R11)","863,400,000",""
"2004","European Union - 28 countries (2013-2020)","Tonne","Non-hazardous","Total waste","Recovery - recycling",":",""
"2004","European Union - 28 countries (2013-2020)","Tonne","Non-hazardous","Total waste","Recovery - backfilling",":",""
"2004","Belgium","Tonne","Hazardous and non-hazardous - Total","Total waste","Waste treatment","32,985,766",""
"2004","Belgium","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - landfill and other (D1-D7, D12)","4,269,669",""
"2004","Belgium","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - landfill (D1, D5, D12)","4,269,669","e"
"2004","Belgium","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - incineration (D10)","2,565,146","e"
"2004","Belgium","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - other (D2-D4, D6-D7)","0","e"
"2004","Belgium","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - energy recovery (R1)","629,430","e"
"2004","Belgium","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - recycling and backfilling (R2-R11)",":","c"
"2004","Belgium","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - recycling",":",""
"2004","Belgium","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - backfilling",":",""
"2004","Belgium","Tonne","Hazardous","Total waste","Waste treatment","3,310,427",""
"2004","Belgium","Tonne","Hazardous","Total waste","Disposal - landfill and other (D1-D7, D12)","1,306,543",""
"2004","Belgium","Tonne","Hazardous","Total waste","Disposal - landfill (D1, D5, D12)","1,306,543","e"
"2004","Belgium","Tonne","Hazardous","Total waste","Disposal - incineration (D10)","193,790","e"
"2004","Belgium","Tonne","Hazardous","Total waste","Disposal - other (D2-D4, D6-D7)","0","e"
"2004","Belgium","Tonne","Hazardous","Total waste","Recovery - energy recovery (R1)","165,211","e"
"2004","Belgium","Tonne","Hazardous","Total waste","Recovery - recycling and backfilling (R2-R11)",":","c"
"2004","Belgium","Tonne","Hazardous","Total waste","Recovery - recycling",":",""
"2004","Belgium","Tonne","Hazardous","Total waste","Recovery - backfilling",":",""
"2004","Belgium","Tonne","Non-hazardous","Total waste","Waste treatment","29,675,339",""
"2004","Belgium","Tonne","Non-hazardous","Total waste","Disposal - landfill and other (D1-D7, D12)","2,963,126",""
